RegionDescription,AÑO,CategoryName,CompanyName,ProductName,CANTIDAD
Eastern                                           ,1996,Condiments,White Clover Markets,Chef Anton's Cajun Seasoning,616.0000
Eastern                                           ,1996,Condiments,White Clover Markets,Northwoods Cranberry Sauce,2240.0000
Eastern                                           ,1996,Confections,Blondesddsl pre et fils,Maxilaku,560.0000
Eastern                                           ,1996,Confections,Bottom-Dollar Markets,Tarte au sucre,788.0000
Eastern                                           ,1996,Confections,Centro comercial Moctezuma,Sir Rodney's Scones,80.0000
Eastern                                           ,1996,Confections,Ernst Handel,Sir Rodney's Scones,40.0000
Eastern                                           ,1996,Confections,Familia Arquibaldo,NuNuCa Nu-Nougat-Creme,112.0000
Eastern                                           ,1996,Confections,Frankenversand,Gumbr Gummibrchen,597.6000
Eastern                                           ,1996,Confections,Furia Bacalhau e Frutos do Mar,Scottish Longbreads,100.0000
Eastern                                           ,1996,Confections,HILARION-Abastos,Schoggi Schokolade,877.5000
Eastern                                           ,1996,Confections,Hungry Coyote Import Store,Tarte au sucre,394.0000
Eastern                                           ,1996,Confections,Kniglich Essen,NuNuCa Nu-Nougat-Creme,44.8000
Eastern                                           ,1996,Confections,LILA-Supermercado,Gumbr Gummibrchen,398.4000
Eastern                                           ,1996,Confections,Lehmanns Marktstand,Schoggi Schokolade,526.5000
Eastern                                           ,1996,Confections,Lehmanns Marktstand,Scottish Longbreads,40.0000
Eastern                                           ,1996,Confections,Lonesome Pine Restaurant,Scottish Longbreads,30.0000
Eastern                                           ,1996,Confections,Lonesome Pine Restaurant,Tarte au sucre,394.0000
Eastern                                           ,1996,Confections,Magazzini Alimentari Riuniti,Scottish Longbreads,200.0000
Eastern                                           ,1996,Confections,Morgenstern Gesundkost,Tarte au sucre,472.8000
Eastern                                           ,1996,Confections,Mre Paillarde,Tarte au sucre,1103.2000
Eastern                                           ,1996,Confections,Ottilies Kseladen,Tarte au sucre,591.0000
Eastern                                           ,1996,Confections,Princesa Isabel Vinhos,Sir Rodney's Scones,80.0000
Eastern                                           ,1996,Confections,QUICK-Stop,Teatime Chocolate Biscuits,584.0000
Eastern                                           ,1996,Confections,Que Delcia,Sir Rodney's Scones,160.0000
Eastern                                           ,1996,Confections,Queen Cozinha,Sir Rodney's Marmalade,777.6000
Eastern                                           ,1996,Confections,Rattlesnake Canyon Grocery,Tarte au sucre,3743.0000
Eastern                                           ,1996,Confections,Reggiani Caseifici,Scottish Longbreads,30.0000
Eastern                                           ,1996,Confections,Ricardo Adocicados,Teatime Chocolate Biscuits,109.5000
Eastern                                           ,1996,Confections,Romero y tomillo,Teatime Chocolate Biscuits,7.3000
Eastern                                           ,1996,Confections,Save-a-lot Markets,Gumbr Gummibrchen,1743.0000
Eastern                                           ,1996,Confections,Save-a-lot Markets,NuNuCa Nu-Nougat-Creme,78.4000
Eastern                                           ,1996,Confections,Seven Seas Imports,Pavlova,778.4000
Eastern                                           ,1996,Confections,Split Rail Beer & Ale,Scottish Longbreads,80.0000
Eastern                                           ,1996,Confections,Split Rail Beer & Ale,Teatime Chocolate Biscuits,73.0000
Eastern                                           ,1996,Confections,Suprmes dlices,Sir Rodney's Marmalade,2592.0000
Eastern                                           ,1996,Confections,Tortuga Restaurante,Maxilaku,480.0000
Eastern                                           ,1996,Confections,Tradio Hipermercados,Sir Rodney's Marmalade,1296.0000
Eastern                                           ,1996,Confections,Wartian Herkku,Sir Rodney's Scones,80.0000
Eastern                                           ,1996,Dairy Products,Blondesddsl pre et fils,Mozzarella di Giovanni,556.0000
Eastern                                           ,1996,Dairy Products,Drachenblut Delikatessen,Gorgonzola Telino,200.0000
Eastern                                           ,1996,Dairy Products,Du monde entier,Gudbrandsdalsost,201.6000
Eastern                                           ,1996,Dairy Products,Eastern Connection,Flotemysost,86.0000
Eastern                                           ,1996,Dairy Products,Eastern Connection,Gudbrandsdalsost,864.0000
Eastern                                           ,1996,Dairy Products,Ernst Handel,Geitost,120.0000
Eastern                                           ,1996,Dairy Products,Ernst Handel,Mascarpone Fabioli,153.6000
Eastern                                           ,1996,Dairy Products,Folk och f HB,Flotemysost,103.2000
Eastern                                           ,1996,Dairy Products,Folk och f HB,Queso Cabrales,840.0000
Eastern                                           ,1996,Dairy Products,Frankenversand,Flotemysost,1032.0000
Eastern                                           ,1996,Dairy Products,Frankenversand,Gorgonzola Telino,560.0000
Eastern                                           ,1996,Dairy Products,Frankenversand,Mozzarella di Giovanni,1278.8000
Eastern                                           ,1996,Dairy Products,Frankenversand,Raclette Courdavault,3080.0000
Eastern                                           ,1996,Dairy Products,Furia Bacalhau e Frutos do Mar,Raclette Courdavault,396.0000
Eastern                                           ,1996,Dairy Products,Hungry Owl All-Night Grocers,Flotemysost,860.0000
Eastern                                           ,1996,Dairy Products,Kniglich Essen,Gorgonzola Telino,40.0000
Eastern                                           ,1996,Dairy Products,Kniglich Essen,Mozzarella di Giovanni,1112.0000
Eastern                                           ,1996,Dairy Products,LILA-Supermercado,Camembert Pierrot,217.6000
Eastern                                           ,1996,Dairy Products,Lehmanns Marktstand,Camembert Pierrot,544.0000
Eastern                                           ,1996,Dairy Products,Magazzini Alimentari Riuniti,Raclette Courdavault,264.0000
Eastern                                           ,1996,Dairy Products,Mre Paillarde,Gorgonzola Telino,420.0000
Eastern                                           ,1996,Dairy Products,Piccolo und mehr,Gudbrandsdalsost,1440.0000
Eastern                                           ,1996,Dairy Products,QUICK-Stop,Camembert Pierrot,1496.0000
Eastern                                           ,1996,Dairy Products,Queen Cozinha,Camembert Pierrot,1904.0000
Eastern                                           ,1996,Dairy Products,Queen Cozinha,Mozzarella di Giovanni,1167.6000
Eastern                                           ,1996,Dairy Products,Rattlesnake Canyon Grocery,Camembert Pierrot,571.2000
Eastern                                           ,1996,Dairy Products,Rattlesnake Canyon Grocery,Mascarpone Fabioli,1024.0000
Eastern                                           ,1996,Dairy Products,Sant Gourmet,Flotemysost,258.0000
Eastern                                           ,1996,Dairy Products,Sant Gourmet,Raclette Courdavault,528.0000
Eastern                                           ,1996,Dairy Products,Save-a-lot Markets,Gorgonzola Telino,320.0000
Eastern                                           ,1996,Dairy Products,Seven Seas Imports,Camembert Pierrot,2176.0000
Eastern                                           ,1996,Dairy Products,Seven Seas Imports,Gorgonzola Telino,700.0000
Eastern                                           ,1996,Dairy Products,Split Rail Beer & Ale,Camembert Pierrot,544.0000
Eastern                                           ,1996,Dairy Products,Suprmes dlices,Camembert Pierrot,1088.0000
Eastern                                           ,1996,Dairy Products,Suprmes dlices,Geitost,50.0000
Eastern                                           ,1996,Dairy Products,Tortuga Restaurante,Flotemysost,34.4000
Eastern                                           ,1996,Dairy Products,Tortuga Restaurante,Raclette Courdavault,440.0000
Eastern                                           ,1996,Dairy Products,Vins et alcools Chevalier,Mozzarella di Giovanni,174.0000
Eastern                                           ,1996,Dairy Products,Vins et alcools Chevalier,Queso Cabrales,168.0000
Eastern                                           ,1996,Dairy Products,Wartian Herkku,Flotemysost,1204.0000
Eastern                                           ,1996,Dairy Products,White Clover Markets,Geitost,120.0000
Eastern                                           ,1996,Dairy Products,White Clover Markets,Mozzarella di Giovanni,556.0000
Eastern                                           ,1996,Dairy Products,Wolski  Zajazd,Gorgonzola Telino,300.0000
Eastern                                           ,1996,Grains/Cereals,Blido Comidas preparadas,Ravioli Angelo,249.6000
Eastern                                           ,1996,Grains/Cereals,Die Wandernde Kuh,Tunnbrd,180.0000
Eastern                                           ,1996,Grains/Cereals,Du monde entier,Singaporean Hokkien Fried Mee,67.2000
Eastern                                           ,1996,Grains/Cereals,Ernst Handel,Ravioli Angelo,390.0000
Eastern                                           ,1996,Grains/Cereals,Ernst Handel,Wimmers gute Semmelkndel,931.0000
Eastern                                           ,1996,Grains/Cereals,Frankenversand,Tunnbrd,576.0000
Eastern                                           ,1996,Grains/Cereals,Lehmanns Marktstand,Wimmers gute Semmelkndel,1330.0000
Eastern                                           ,1996,Grains/Cereals,Ottilies Kseladen,Ravioli Angelo,780.0000
Eastern                                           ,1996,Grains/Cereals,QUICK-Stop,Singaporean Hokkien Fried Mee,100.8000
Eastern                                           ,1996,Grains/Cereals,Romero y tomillo,Ravioli Angelo,31.2000
Eastern                                           ,1996,Grains/Cereals,Seven Seas Imports,Filo Mix,112.0000
Eastern                                           ,1996,Grains/Cereals,Split Rail Beer & Ale,Gnocchi di nonna Alice,364.8000
Eastern                                           ,1996,Grains/Cereals,Vins et alcools Chevalier,Gnocchi di nonna Alice,121.6000
Eastern                                           ,1996,Grains/Cereals,Vins et alcools Chevalier,Singaporean Hokkien Fried Mee,98.0000
Eastern                                           ,1996,Meat/Poultry,Berglunds snabbkp,Pt chinois,384.0000
Eastern                                           ,1996,Meat/Poultry,Blondesddsl pre et fils,Alice Mutton,936.0000
Eastern                                           ,1996,Meat/Poultry,Blondesddsl pre et fils,Thringer Rostbratwurst,3465.0000
Eastern                                           ,1996,Meat/Poultry,Blondesddsl pre et fils,Tourtire,165.2000
Eastern                                           ,1996,Meat/Poultry,Bottom-Dollar Markets,Pt chinois,288.0000
Eastern                                           ,1996,Meat/Poultry,Chop-suey Chinese,Pt chinois,403.2000
Eastern                                           ,1996,Meat/Poultry,Die Wandernde Kuh,Perth Pasties,524.0000
Eastern                                           ,1996,Meat/Poultry,Ernst Handel,Thringer Rostbratwurst,1386.0000
Eastern                                           ,1996,Meat/Poultry,Frankenversand,Pt chinois,768.0000
Eastern                                           ,1996,Meat/Poultry,Mre Paillarde,Alice Mutton,2184.0000
Eastern                                           ,1996,Meat/Poultry,Old World Delicatessen,Alice Mutton,624.0000
Eastern                                           ,1996,Meat/Poultry,QUICK-Stop,Perth Pasties,943.2000
Eastern                                           ,1996,Meat/Poultry,Rattlesnake Canyon Grocery,Alice Mutton,468.0000
Eastern                                           ,1996,Meat/Poultry,Reggiani Caseifici,Tourtire,59.0000
Eastern                                           ,1996,Meat/Poultry,Romero y tomillo,Perth Pasties,262.0000
Eastern                                           ,1996,Meat/Poultry,Romero y tomillo,Tourtire,29.5000
Eastern                                           ,1996,Meat/Poultry,Save-a-lot Markets,Pt chinois,2304.0000
Eastern                                           ,1996,Meat/Poultry,Seven Seas Imports,Perth Pasties,1048.0000
Eastern                                           ,1996,Meat/Poultry,Suprmes dlices,Alice Mutton,1248.0000
Eastern                                           ,1996,Produce,Blondesddsl pre et fils,Rssle Sauerkraut,1092.0000
Eastern                                           ,1996,Produce,Chop-suey Chinese,Longlife Tofu,168.0000
Eastern                                           ,1996,Produce,Die Wandernde Kuh,Rssle Sauerkraut,145.6000
Eastern                                           ,1996,Produce,Ernst Handel,Longlife Tofu,400.0000
Eastern                                           ,1996,Produce,Ernst Handel,Rssle Sauerkraut,473.2000
Eastern                                           ,1996,Produce,Hanari Carnes,Manjimup Dried Apples,1484.0000
Eastern                                           ,1996,Produce,Kniglich Essen,Tofu,167.4000
Eastern                                           ,1996,Produce,Morgenstern Gesundkost,Rssle Sauerkraut,728.0000
Eastern                                           ,1996,Produce,Princesa Isabel Vinhos,Manjimup Dried Apples,763.2000
Eastern                                           ,1996,Produce,Sant Gourmet,Rssle Sauerkraut,218.4000
Eastern                                           ,1996,Produce,Save-a-lot Markets,Tofu,781.2000
Eastern                                           ,1996,Produce,Seven Seas Imports,Rssle Sauerkraut,728.0000
Eastern                                           ,1996,Produce,Split Rail Beer & Ale,Uncle Bob's Organic Dried Pears,240.0000
Eastern                                           ,1996,Produce,Suprmes dlices,Rssle Sauerkraut,1019.2000
Eastern                                           ,1996,Produce,Wartian Herkku,Tofu,186.0000
Eastern                                           ,1996,Seafood,Bon app',Carnarvon Tigers,1000.0000
Eastern                                           ,1996,Seafood,Bon app',Jack's New England Clam Chowder,92.4000
Eastern                                           ,1996,Seafood,Bottom-Dollar Markets,Ikura,396.8000
Eastern                                           ,1996,Seafood,Centro comercial Moctezuma,Gravad lax,20.8000
Eastern                                           ,1996,Seafood,Ernst Handel,Carnarvon Tigers,450.0000
Eastern                                           ,1996,Seafood,Ernst Handel,Jack's New England Clam Chowder,100.1000
Eastern                                           ,1996,Seafood,Familia Arquibaldo,Boston Crab Meat,58.8000
Eastern                                           ,1996,Seafood,Folk och f HB,Escargots de Bourgogne,318.0000
Eastern                                           ,1996,Seafood,Folk och f HB,Nord-Ost Matjeshering,724.5000
Eastern                                           ,1996,Seafood,Frankenversand,Boston Crab Meat,735.0000
Eastern                                           ,1996,Seafood,Frankenversand,Gravad lax,582.4000
Eastern                                           ,1996,Seafood,Frankenversand,Inlagd Sill,912.0000
Eastern                                           ,1996,Seafood,Hanari Carnes,Jack's New England Clam Chowder,77.0000
Eastern                                           ,1996,Seafood,Hungry Coyote Import Store,Konbu,48.0000
Eastern                                           ,1996,Seafood,Hungry Owl All-Night Grocers,Escargots de Bourgogne,848.0000
Eastern                                           ,1996,Seafood,Kniglich Essen,Konbu,57.6000
Eastern                                           ,1996,Seafood,LILA-Supermercado,Ikura,744.0000
Eastern                                           ,1996,Seafood,La maison d'Asie,Inlagd Sill,395.2000
Eastern                                           ,1996,Seafood,Old World Delicatessen,Nord-Ost Matjeshering,310.5000
Eastern                                           ,1996,Seafood,Ottilies Kseladen,Jack's New England Clam Chowder,123.2000
Eastern                                           ,1996,Seafood,QUICK-Stop,Boston Crab Meat,588.0000
Eastern                                           ,1996,Seafood,QUICK-Stop,Inlagd Sill,182.4000
Eastern                                           ,1996,Seafood,Que Delcia,Jack's New England Clam Chowder,61.6000
Eastern                                           ,1996,Seafood,Rattlesnake Canyon Grocery,Escargots de Bourgogne,318.0000
Eastern                                           ,1996,Seafood,Rattlesnake Canyon Grocery,Jack's New England Clam Chowder,77.0000
Eastern                                           ,1996,Seafood,Romero y tomillo,Nord-Ost Matjeshering,331.2000
Eastern                                           ,1996,Seafood,Seven Seas Imports,Rogede sild,114.0000
Eastern                                           ,1996,Seafood,Split Rail Beer & Ale,Nord-Ost Matjeshering,165.6000
Eastern                                           ,1996,Seafood,Tortuga Restaurante,Carnarvon Tigers,600.0000
Eastern                                           ,1996,Seafood,Wartian Herkku,Inlagd Sill,456.0000
Eastern                                           ,1996,Seafood,Wolski  Zajazd,Escargots de Bourgogne,159.0000
Eastern                                           ,1997,Beverages,Alfreds Futterkiste,Lakkalikri,270.0000
Eastern                                           ,1997,Beverages,Around the Horn,Chang,285.0000
Eastern                                           ,1997,Beverages,Around the Horn,Outback Lager,720.0000
Eastern                                           ,1997,Beverages,B's Beverages,Steeleye Stout,360.0000
Eastern                                           ,1997,Beverages,Berglunds snabbkp,Chai,630.0000
Eastern                                           ,1997,Beverages,Berglunds snabbkp,Chartreuse verte,360.0000
Eastern                                           ,1997,Beverages,Berglunds snabbkp,Ipoh Coffee,2760.0000
Eastern                                           ,1997,Beverages,Blondesddsl pre et fils,Chai,450.0000
Eastern                                           ,1997,Beverages,Die Wandernde Kuh,Outback Lager,225.0000
Eastern                                           ,1997,Beverages,Eastern Connection,Steeleye Stout,504.0000
Eastern                                           ,1997,Beverages,Ernst Handel,Outback Lager,120.0000
Eastern                                           ,1997,Beverages,Ernst Handel,Rhnbru Klosterbier,54.2500
Eastern                                           ,1997,Beverages,Ernst Handel,Steeleye Stout,540.0000
Eastern                                           ,1997,Beverages,Folies gourmandes,Rhnbru Klosterbier,15.5000
Eastern                                           ,1997,Beverages,Folies gourmandes,Steeleye Stout,270.0000
Eastern                                           ,1997,Beverages,Frankenversand,Laughing Lumberjack Lager,350.0000
Eastern                                           ,1997,Beverages,Frankenversand,Rhnbru Klosterbier,193.7500
Eastern                                           ,1997,Beverages,Furia Bacalhau e Frutos do Mar,Ipoh Coffee,110.4000
Eastern                                           ,1997,Beverages,Furia Bacalhau e Frutos do Mar,Lakkalikri,180.0000
Eastern                                           ,1997,Beverages,Furia Bacalhau e Frutos do Mar,Steeleye Stout,360.0000
Eastern                                           ,1997,Beverages,GROSELLA-Restaurante,Rhnbru Klosterbier,77.5000
Eastern                                           ,1997,Beverages,Gourmet Lanchonetes,Lakkalikri,360.0000
Eastern                                           ,1997,Beverages,Great Lakes Food Market,Cte de Blaye,3952.5000
Eastern                                           ,1997,Beverages,Great Lakes Food Market,Outback Lager,225.0000
Eastern                                           ,1997,Beverages,HILARION-Abastos,Chang,950.0000
Eastern                                           ,1997,Beverages,HILARION-Abastos,Rhnbru Klosterbier,542.5000
Eastern                                           ,1997,Beverages,Hanari Carnes,Cte de Blaye,2371.5000
Eastern                                           ,1997,Beverages,Hanari Carnes,Guaran Fantstica,157.5000
Eastern                                           ,1997,Beverages,Island Trading,Lakkalikri,180.0000
Eastern                                           ,1997,Beverages,Island Trading,Outback Lager,300.0000
Eastern                                           ,1997,Beverages,Kniglich Essen,Lakkalikri,630.0000
Eastern                                           ,1997,Beverages,LILA-Supermercado,Outback Lager,525.0000
Eastern                                           ,1997,Beverages,LINO-Delicateses,Chang,304.0000
Eastern                                           ,1997,Beverages,LINO-Delicateses,Outback Lager,720.0000
Eastern                                           ,1997,Beverages,La maison d'Asie,Chang,285.0000
Eastern                                           ,1997,Beverages,Laughing Bacchus Wine Cellars,Guaran Fantstica,22.5000
Eastern                                           ,1997,Beverages,Lehmanns Marktstand,Chai,720.0000
Eastern                                           ,1997,Beverages,Let's Stop N Shop,Rhnbru Klosterbier,162.7500
Eastern                                           ,1997,Beverages,Lonesome Pine Restaurant,Lakkalikri,180.0000
Eastern                                           ,1997,Beverages,Lonesome Pine Restaurant,Laughing Lumberjack Lager,98.0000
Eastern                                           ,1997,Beverages,Magazzini Alimentari Riuniti,Chartreuse verte,36.0000
Eastern                                           ,1997,Beverages,Maison Dewey,Ipoh Coffee,1380.0000
Eastern                                           ,1997,Beverages,Morgenstern Gesundkost,Lakkalikri,180.0000
Eastern                                           ,1997,Beverages,Mre Paillarde,Chai,360.0000
Eastern                                           ,1997,Beverages,North/South,Chai,144.0000
Eastern                                           ,1997,Beverages,Ottilies Kseladen,Chang,760.0000
Eastern                                           ,1997,Beverages,Ottilies Kseladen,Chartreuse verte,180.0000
Eastern                                           ,1997,Beverages,Pericles Comidas clsicas,Laughing Lumberjack Lager,420.0000
Eastern                                           ,1997,Beverages,Pericles Comidas clsicas,Rhnbru Klosterbier,62.0000
Eastern                                           ,1997,Beverages,Princesa Isabel Vinhos,Chai,216.0000
Eastern                                           ,1997,Beverages,Princesa Isabel Vinhos,Chartreuse verte,288.0000
Eastern                                           ,1997,Beverages,QUICK-Stop,Chai,540.0000
Eastern                                           ,1997,Beverages,QUICK-Stop,Chang,912.0000
Eastern                                           ,1997,Beverages,QUICK-Stop,Ipoh Coffee,1840.0000
Eastern                                           ,1997,Beverages,QUICK-Stop,Rhnbru Klosterbier,310.0000
Eastern                                           ,1997,Beverages,Que Delcia,Chartreuse verte,360.0000
Eastern                                           ,1997,Beverages,Que Delcia,Steeleye Stout,360.0000
Eastern                                           ,1997,Beverages,Rattlesnake Canyon Grocery,Lakkalikri,540.0000
Eastern                                           ,1997,Beverages,Rattlesnake Canyon Grocery,Rhnbru Klosterbier,139.5000
Eastern                                           ,1997,Beverages,Ricardo Adocicados,Chang,380.0000
Eastern                                           ,1997,Beverages,Ricardo Adocicados,Guaran Fantstica,67.5000
Eastern                                           ,1997,Beverages,Save-a-lot Markets,Chang,1254.0000
Eastern                                           ,1997,Beverages,Save-a-lot Markets,Lakkalikri,1440.0000
Eastern                                           ,1997,Beverages,Simons bistro,Cte de Blaye,10540.0000
Eastern                                           ,1997,Beverages,The Big Cheese,Cte de Blaye,2635.0000
Eastern                                           ,1997,Beverages,The Big Cheese,Sasquatch Ale,140.0000
Eastern                                           ,1997,Beverages,Tortuga Restaurante,Cte de Blaye,3952.5000
Eastern                                           ,1997,Beverages,Tortuga Restaurante,Guaran Fantstica,22.5000
Eastern                                           ,1997,Beverages,Vaffeljernet,Guaran Fantstica,90.0000
Eastern                                           ,1997,Beverages,Vaffeljernet,Sasquatch Ale,196.0000
Eastern                                           ,1997,Beverages,Victuailles en stock,Steeleye Stout,540.0000
Eastern                                           ,1997,Beverages,Wartian Herkku,Chai,144.0000
Eastern                                           ,1997,Beverages,Wartian Herkku,Steeleye Stout,108.0000
Eastern                                           ,1997,Beverages,White Clover Markets,Chang,836.0000
Eastern                                           ,1997,Beverages,White Clover Markets,Steeleye Stout,630.0000
Eastern                                           ,1997,Beverages,Wilman Kala,Ipoh Coffee,276.0000
Eastern                                           ,1997,Beverages,Wolski  Zajazd,Chang,190.0000
Eastern                                           ,1997,Condiments,Alfreds Futterkiste,Aniseed Syrup,60.0000
Eastern                                           ,1997,Condiments,Alfreds Futterkiste,Vegie-spread,878.0000
Eastern                                           ,1997,Condiments,Berglunds snabbkp,Chef Anton's Cajun Seasoning,264.0000
Eastern                                           ,1997,Condiments,Bon app',Chef Anton's Cajun Seasoning,1100.0000
Eastern                                           ,1997,Condiments,Bon app',Louisiana Fiery Hot Pepper Sauce,210.5000
Eastern                                           ,1997,Condiments,Bon app',Northwoods Cranberry Sauce,400.0000
Eastern                                           ,1997,Condiments,Eastern Connection,Chef Anton's Cajun Seasoning,550.0000
Eastern                                           ,1997,Condiments,Ernst Handel,Louisiana Fiery Hot Pepper Sauce,1368.2500
Eastern                                           ,1997,Condiments,Ernst Handel,Sirop d'rable,3420.0000
Eastern                                           ,1997,Condiments,Folies gourmandes,Vegie-spread,1317.0000
Eastern                                           ,1997,Condiments,Folk och f HB,Gula Malacca,194.5000
Eastern                                           ,1997,Condiments,Folk och f HB,Louisiana Hot Spiced Okra,850.0000
Eastern                                           ,1997,Condiments,France restauration,Louisiana Fiery Hot Pepper Sauce,252.6000
Eastern                                           ,1997,Condiments,Furia Bacalhau e Frutos do Mar,Chef Anton's Cajun Seasoning,281.6000
Eastern                                           ,1997,Condiments,Furia Bacalhau e Frutos do Mar,Gula Malacca,778.0000
Eastern                                           ,1997,Condiments,Furia Bacalhau e Frutos do Mar,Louisiana Fiery Hot Pepper Sauce,315.7500
Eastern                                           ,1997,Condiments,Gourmet Lanchonetes,Grandma's Boysenberry Spread,750.0000
